subscribers,enriched_at,channel_name,channel_url,videos,estimated_monthly_earnings,avg_video_duration,scraped_at,total_views,rank
467000000,2026-02-13T20:51:40.621221+00:00,MrBeast,https://vidiq.com/fr/youtube-stats/channel/UCX6OQ3DkcsbYNE6H8uQQuVA/,943,$6M - $18M,25 min,2026-02-13T20:51:37.149950,111170000000,1
310000000,2026-02-13T20:51:44.410751+00:00,T-Series,https://vidiq.com/fr/youtube-stats/channel/UCq-Fj5jknLsUf-MWSy4_brA/,25370,$4M - $13M,15 min,2026-02-13T20:51:37.149950,330670000000,2
200000000,2026-02-13T20:51:48.714354+00:00,Cocomelon - Nursery Rhymes,https://vidiq.com/fr/youtube-stats/channel/UCbCmjCuTUZos6Inko4u57UQ/,1900,$3M - $10M,10 min,2026-02-13T20:51:37.149950,216800000000,3
188000000,2026-02-13T20:51:53.228854+00:00,SET India,https://vidiq.com/fr/youtube-stats/channel/UCpEhnqL0y41EpW2TvWAHD7Q/,166280,$865K - $3M,43 min,2026-02-13T20:51:37.149950,185890000000,4
149000000,2026-02-13T20:51:57.944804+00:00,Vlad and Niki,https://vidiq.com/fr/youtube-stats/channel/UCvlE5gTbOvjiolFlEm-c_Ow/,992,$2M - $6M,28 min,2026-02-13T20:51:37.149950,118740000000,5
138000000,2026-02-13T20:52:03.292182+00:00,✿ Kids Diana Show,https://vidiq.com/fr/youtube-stats/channel/UCk8GzjMOrta8yxDcKfylJYw/,1550,$1M - $3M,27 min,2026-02-13T20:51:37.149950,122500000000,6
137000000,2026-02-13T20:52:08.288706+00:00,Stokes Twins,https://vidiq.com/fr/youtube-stats/channel/UCbp9MyKCTEww4CxEzc_Tp0Q/,417,$1M - $3M,37 min,2026-02-13T20:51:37.149950,28520000000,7
131000000,2026-02-13T20:52:12.290270+00:00,Like Nastya,https://vidiq.com/fr/youtube-stats/channel/UCJplp5SjeGSdVdwsfb9Q7lQ/,1040,$621K - $2M,29 min,2026-02-13T20:51:37.149950,118860000000,8
130000000,2026-02-13T20:52:16.753826+00:00,김프로KIMPRO,https://vidiq.com/fr/youtube-stats/channel/UCiVs2pnGW5mLIc1jS2nxhjg/,3840,$8M - $25M,5 min,2026-02-13T20:51:37.149950,133400000000,9
122000000,2026-02-13T20:52:20.372775+00:00,Zee Music Company,https://vidiq.com/fr/youtube-stats/channel/UCFFbwnve3yF62-tVXkTyHqg/,15670,$1M - $4M,20 min,2026-02-13T20:51:37.149950,85750000000,10
112000000,2026-02-13T20:52:24.324331+00:00,WWE,https://vidiq.com/fr/youtube-stats/channel/UCJ5v_MCY6GNUBTO8-D3XoAg/,91050,$1M - $4M,17 min,2026-02-13T20:51:37.149950,101900000000,11
110000000,2026-02-13T20:52:29.737280+00:00,PewDiePie,https://vidiq.com/fr/youtube-stats/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw/,4660,$9K - $28K,28 min,2026-02-13T20:51:37.149950,29470000000,12
109000000,2026-02-13T20:52:33.284814+00:00,Goldmines,https://vidiq.com/fr/youtube-stats/channel/UCyoXW-Dse7fURq30EWl_CUA/,13050,$437K - $1M,28 min,2026-02-13T20:51:37.149950,31570000000,13
106000000,2026-02-13T20:52:37.220181+00:00,Alejo Igoa,https://vidiq.com/fr/youtube-stats/channel/UCZs0WwC0Dn_noiQE2BHSTKg/,1300,$2M - $5M,13 min,2026-02-13T20:51:37.149950,32140000000,14
105000000,2026-02-13T20:52:41.067347+00:00,Sony SAB,https://vidiq.com/fr/youtube-stats/channel/UC6-F5tO8uklgE9Zy8IvbdFw/,107560,$2M - $5M,20 min,2026-02-13T20:51:37.149950,139640000000,15
99800000,2026-02-13T20:52:46.281573+00:00,BLACKPINK,https://vidiq.com/fr/youtube-stats/channel/UCOmHUn--16B90oW2L6FRR3A/,646,$494K - $1M,7 min,2026-02-13T20:51:37.149950,41200000000,16
99500000,2026-02-13T20:52:51.111674+00:00,Alan's Universe,https://vidiq.com/fr/youtube-stats/channel/UC5gxP-2QqIh_09djvlm9Xcg/,1580,$1M - $3M,31 min,2026-02-13T20:51:37.149950,59560000000,17
98100000,2026-02-13T20:52:55.179369+00:00,ChuChu TV Nursery Rhymes & Kids Songs,https://vidiq.com/fr/youtube-stats/channel/UCBnZ16ahKA2DZ_T5W0FPUXg/,1050,$353K - $1M,14 min,2026-02-13T20:51:37.149950,58390000000,18
97100000,2026-02-13T20:53:00.019408+00:00,Zee TV,https://vidiq.com/fr/youtube-stats/channel/UCppHT7SZKKvar4Oc9J4oljQ/,227380,$2M - $5M,8 min,2026-02-13T20:51:37.149950,113220000000,19
92500000,2026-02-13T20:53:04.807780+00:00,A4,https://vidiq.com/fr/youtube-stats/channel/UC2tsySbe9TNrI-xh2lximHA/,1040,$406K - $1M,28 min,2026-02-13T20:51:37.149950,36850000000,20
84600000,2026-02-13T20:53:09.888149+00:00,Topper Guild,https://vidiq.com/fr/youtube-stats/channel/UCPuEAY09CtdTzFNWuqVZgDw/,1390,$686K - $2M,45 min,2026-02-13T20:51:37.149950,29960000000,21
84200000,2026-02-13T20:53:14.508405+00:00,Baby Shark - Pinkfong Kids’ Songs & Stories,https://vidiq.com/fr/youtube-stats/channel/UCcdwLMPsaU2ezNSJU1nFoBQ/,3790,$855K - $3M,25 min,2026-02-13T20:51:37.149950,53960000000,22
82200000,2026-02-13T20:53:18.228849+00:00,BANGTANTV,https://vidiq.com/fr/youtube-stats/channel/UCLkAepWjdylmXSltofFvsYQ/,2960,$310K - $929K,8 min,2026-02-13T20:51:37.149950,26580000000,23
82100000,2026-02-13T20:53:22.590918+00:00,Toys and Colors,https://vidiq.com/fr/youtube-stats/channel/UCgFXm4TI8htWmCyJ6cVPG_A/,1760,$2M - $6M,24 min,2026-02-13T20:51:37.149950,115220000000,24
81800000,2026-02-13T20:53:27.456741+00:00,Colors TV,https://vidiq.com/fr/youtube-stats/channel/UC55IWqFLDH1Xp7iu1_xknRA/,51830,$365K - $1M,14 min,2026-02-13T20:51:37.149950,1150000000,25
81600000,2026-02-13T20:53:31.421929+00:00,KL BRO Biju Rithvik,https://vidiq.com/fr/youtube-stats/channel/UCL5nlHWXVLeOsSjKH2fhmsg/,3570,$5M - $14M,20 min,2026-02-13T20:51:37.149950,91490000000,26
