rank,channel_name,channel_url,videos,subscribers,total_views,scraped_at
1,MrBeast,https://vidiq.com/fr/youtube-stats/channel/UCX6OQ3DkcsbYNE6H8uQQuVA/,942,466000000,110790000000,2026-02-10T14:01:00.426360
2,T-Series,https://vidiq.com/fr/youtube-stats/channel/UCq-Fj5jknLsUf-MWSy4_brA/,25360,310000000,330310000000,2026-02-10T14:01:00.426360
3,Cocomelon - Nursery Rhymes,https://vidiq.com/fr/youtube-stats/channel/UCbCmjCuTUZos6Inko4u57UQ/,1900,200000000,216800000000,2026-02-10T14:01:00.426360
4,SET India,https://vidiq.com/fr/youtube-stats/channel/UCpEhnqL0y41EpW2TvWAHD7Q/,166110,188000000,185820000000,2026-02-10T14:01:00.426360
5,Vlad and Niki,https://vidiq.com/fr/youtube-stats/channel/UCvlE5gTbOvjiolFlEm-c_Ow/,991,149000000,118640000000,2026-02-10T14:01:00.426360
6,✿ Kids Diana Show,https://vidiq.com/fr/youtube-stats/channel/UCk8GzjMOrta8yxDcKfylJYw/,1550,138000000,122450000000,2026-02-10T14:01:00.426360
7,Stokes Twins,https://vidiq.com/fr/youtube-stats/channel/UCbp9MyKCTEww4CxEzc_Tp0Q/,415,137000000,28500000000,2026-02-10T14:01:00.426360
8,Like Nastya,https://vidiq.com/fr/youtube-stats/channel/UCJplp5SjeGSdVdwsfb9Q7lQ/,1040,131000000,118840000000,2026-02-10T14:01:00.426360
9,김프로KIMPRO,https://vidiq.com/fr/youtube-stats/channel/UCiVs2pnGW5mLIc1jS2nxhjg/,3830,130000000,133000000000,2026-02-10T14:01:00.426360
10,Zee Music Company,https://vidiq.com/fr/youtube-stats/channel/UCFFbwnve3yF62-tVXkTyHqg/,15650,122000000,85680000000,2026-02-10T14:01:00.426360
11,WWE,https://vidiq.com/fr/youtube-stats/channel/UCJ5v_MCY6GNUBTO8-D3XoAg/,90980,112000000,101840000000,2026-02-10T14:01:00.426360
12,PewDiePie,https://vidiq.com/fr/youtube-stats/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw/,4660,110000000,29460000000,2026-02-10T14:01:00.426360
13,Goldmines,https://vidiq.com/fr/youtube-stats/channel/UCyoXW-Dse7fURq30EWl_CUA/,13020,109000000,31540000000,2026-02-10T14:01:00.426360
14,Alejo Igoa,https://vidiq.com/fr/youtube-stats/channel/UCZs0WwC0Dn_noiQE2BHSTKg/,1300,106000000,32030000000,2026-02-10T14:01:00.426360
15,Sony SAB,https://vidiq.com/fr/youtube-stats/channel/UC6-F5tO8uklgE9Zy8IvbdFw/,107450,105000000,139560000000,2026-02-10T14:01:00.426360
16,BLACKPINK,https://vidiq.com/fr/youtube-stats/channel/UCOmHUn--16B90oW2L6FRR3A/,646,99800000,41200000000,2026-02-10T14:01:00.426360
17,Alan's Universe,https://vidiq.com/fr/youtube-stats/channel/UC5gxP-2QqIh_09djvlm9Xcg/,1580,99500000,59510000000,2026-02-10T14:01:00.426360
18,ChuChu TV Nursery Rhymes & Kids Songs,https://vidiq.com/fr/youtube-stats/channel/UCBnZ16ahKA2DZ_T5W0FPUXg/,1050,98100000,58360000000,2026-02-10T14:01:00.426360
